             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          26190428 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190427 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190426 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190425 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190424 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190423 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190422 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190421 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190420 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190419 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190418 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190417 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190416 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190415 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190414 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190413 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190412 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190411 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190710 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190709 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190708 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190707 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190706 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190705 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190704 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190703 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190702 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190701 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190700 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190699 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190698 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190697 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190696 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190695 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190694 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190693 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190692 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190691 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190690 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190689 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190688 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190687 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190686 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190685 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190684 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190683 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190682 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190681 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190680 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190679 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190678 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190677 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190676 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190674 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190671 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190670 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190669 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190668 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190667 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190666 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190665 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190664 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190663 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190662 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190661 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
